genotype,fly,food,abs_ifCW
CantonSMH,fly01,after food,0.35167711499764787
CantonSMH,fly01,before food,0.0909090909090908
CantonSMH,fly02,after food,0.3528291029816334
CantonSMH,fly02,before food,0.2762645914396886
CantonSMH,fly03,after food,0.36654922195920564
CantonSMH,fly03,before food,0.3777777777777777
CantonSMH,fly04,after food,0.2024959913624406
CantonSMH,fly04,before food,0.0958904109589041
CantonSMH,fly05,after food,0.4207375105376871
CantonSMH,fly05,before food,0.0333333333333333
CantonSMH,fly06,after food,0.7522540598271201
CantonSMH,fly06,before food,0.996545768566494
CantonSMH,fly07,after food,0.3176567299915381
CantonSMH,fly07,before food,0.3913043478260869
CantonSMH,fly08,after food,0.24775997153370757
CantonSMH,fly08,before food,0.1047957371225576
CantonSMH,fly09,before food,0.0140845070422535
CantonSMH,fly10,after food,0.2597178664312603
CantonSMH,fly10,before food,0.1428571428571428
CantonSMH,fly11,after food,0.3195224853611403
CantonSMH,fly11,before food,0.3114754098360655
CantonSMH,fly12,after food,0.3517189839162452
CantonSMH,fly12,before food,0.0909090909090909
CantonSMH,fly13,after food,0.4487840280507303
CantonSMH,fly13,before food,0.0714285714285714
CantonSMH,fly14,after food,0.2804314319353055
CantonSMH,fly14,before food,0.2660550458715596
CantonSMH,fly15,after food,0.3184812970753008
CantonSMH,fly15,before food,0.0222222222222221
CantonSMH,fly16,after food,0.12824463406989012
CantonSMH,fly16,before food,0.0726256983240223
CantonSMH,fly17,after food,0.3707886466493583
CantonSMH,fly17,before food,0.0272108843537415
CantonSMH,fly18,after food,0.5527282567173032
CantonSMH,fly18,before food,0.0
CantonSMH,fly19,after food,0.38422509142323297
CantonSMH,fly19,before food,0.0666666666666666
CantonSMH,fly20,after food,0.42945942945942944
CantonSMH,fly20,before food,0.102439024390244
CantonSMH,fly21,after food,0.21516609282659005
CantonSMH,fly21,before food,0.1931818181818182
CantonSMH,fly22,after food,0.47815688531643974
CantonSMH,fly22,before food,0.2063492063492064
CantonSMH,fly23,after food,0.272984601935436
CantonSMH,fly23,before food,0.0273972602739726
CantonSMH,fly24,after food,0.27026360630547086
CantonSMH,fly24,before food,0.25
CantonSMH,fly25,after food,0.38866499058263515
CantonSMH,fly26,after food,0.5461561145956236
CantonSMH,fly26,before food,0.141025641025641
CantonSMH,fly27,after food,0.4185783972946812
CantonSMH,fly27,before food,0.1203931203931204
CantonSMH,fly28,after food,0.5513489675932072
CantonSMH,fly28,before food,0.1363636363636364
Or83b,fly01,after food,0.44952731926007583
Or83b,fly01,before food,0.0260869565217392
Or83b,fly03,after food,0.408853192266901
Or83b,fly03,before food,0.4210526315789473
Or83b,fly04,after food,0.915999994290598
Or83b,fly04,before food,0.9393939393939394
Or83b,fly05,before food,0.0090634441087613
Or83b,fly06,after food,0.4333941208745559
Or83b,fly06,before food,0.1034482758620689
Or83b,fly07,after food,0.3153807838006018
Or83b,fly07,before food,0.1139240506329113
Or83b,fly08,after food,0.4504072681704261
Or83b,fly08,before food,0.0476190476190476
Or83b,fly09,after food,0.2660063099243088
Or83b,fly10,after food,0.33242254353395506
Or83b,fly10,before food,0.1599999999999999
Or83b,fly11,after food,0.4206317660913413
Or83b,fly11,before food,0.0120481927710843
Or83b,fly12,after food,0.2690537551057645
Or83b,fly12,before food,0.0265734265734265
Or83b,fly13,before food,0.3228089275993466
Or83b,fly14,after food,0.3499677002143795
Or83b,fly14,before food,0.0785907859078591
Or83b,fly15,after food,0.199582027168234
Or83b,fly15,before food,0.1587743732590529
Or83b,fly16,after food,0.14818514818514816
Or83b,fly16,before food,0.0283018867924528
Or83b,fly17,after food,0.7850446988470606
Or83b,fly17,before food,0.8
Or83b,fly18,after food,0.6116062687019953
Or83b,fly18,before food,0.0217391304347825
Or83b,fly19,before food,0.5121951219512195
Or83b,fly20,after food,0.1518446601941747
Or83b,fly20,before food,0.098901098901099
Or83b,fly21,before food,0.0056854074542009
Or83b,fly22,after food,0.1725146165363556
Or83b,fly22,before food,0.0506329113924051
Or83b,fly23,after food,0.36989997170711136
Or83b,fly23,before food,0.0114285714285713
Or83b,fly24,after food,0.6092460317460318
Or83b,fly24,before food,0.0607734806629833
Or83b,fly26,after food,0.238095238095238
Or83b,fly27,after food,0.4846187363834422
Or83b,fly27,before food,0.0645161290322581
Or83b,fly28,after food,0.0
Or83b,fly28,before food,0.0285714285714284
Or83b,fly29,after food,0.546002886002886
Or83b,fly29,before food,0.3516483516483516
Or83b,fly30,before food,0.0837837837837838
Tmem63,fly01,after food,0.2106387764282501
Tmem63,fly01,before food,0.0566037735849056
Tmem63,fly02,before food,0.0609097918272937
Tmem63,fly03,before food,0.2129032258064516
Tmem63,fly04,after food,0.56080399570408
Tmem63,fly04,before food,0.1052631578947369
Tmem63,fly05,after food,0.6458333333333333
Tmem63,fly05,before food,0.0721649484536082
Tmem63,fly06,after food,0.611111111111111
Tmem63,fly06,before food,0.127659574468085
Tmem63,fly07,after food,0.281756338899196
Tmem63,fly07,before food,0.0276497695852535
Tmem63,fly08,after food,0.0436681222707424
Tmem63,fly08,before food,0.0655462184873949
Tmem63,fly09,after food,0.376578792660664
Tmem63,fly09,before food,0.0458015267175572
Tmem63,fly10,after food,0.4476190476190476
Tmem63,fly10,before food,0.1146384479717813
Tmem63,fly11,after food,0.2376988903895791
Tmem63,fly11,before food,0.0280373831775699
Tmem63,fly12,after food,0.6460514883220198
Tmem63,fly12,before food,0.996996996996997
Tmem63,fly13,after food,0.11925525822474141
Tmem63,fly13,before food,0.0291777188328912
Tmem63,fly14,after food,1.0
Tmem63,fly14,before food,0.0581222056631892
Tmem63,fly15,after food,0.41666666666666663
Tmem63,fly15,before food,0.0026881720430107
Tmem63,fly16,before food,0.0561797752808987
Tmem63,fly17,after food,0.4538605686176909
Tmem63,fly17,before food,0.0
Tmem63,fly18,after food,0.2717301587301587
Tmem63,fly18,before food,0.1688311688311687
Tmem63,fly19,after food,0.33064781924048775
Tmem63,fly19,before food,0.0493827160493827
Tmem63,fly20,after food,0.5833333333333334
Tmem63,fly20,before food,0.0519480519480519
Tmem63b,fly01,after food,0.6872222222222222
Tmem63b,fly01,before food,0.0967741935483871
Tmem63b,fly02,after food,0.36486676944202395
Tmem63b,fly02,before food,0.117891816920943
Tmem63b,fly03,after food,0.31318238905912965
Tmem63b,fly03,before food,0.2058823529411765
Tmem63b,fly04,after food,0.39608253588516745
Tmem63b,fly04,before food,0.1475409836065573
Tmem63b,fly05,after food,0.6904761904761905
Tmem63b,fly05,before food,0.0607734806629833
Tmem63b,fly06,after food,0.546875
Tmem63b,fly06,before food,0.0909090909090909
Tmem63b,fly07,after food,0.6666666666666666
Tmem63b,fly07,before food,0.0342741935483871
Tmem63b,fly08,after food,0.3333333333333332
Tmem63b,fly08,before food,0.0598669623059866
Tmem63b,fly09,after food,0.3732366630862871
Tmem63b,fly09,before food,0.0
Tmem63b,fly10,after food,0.1999999999999999
Tmem63b,fly10,before food,0.1547277936962751
Tmem63b,fly11,after food,0.44690514164198375
Tmem63b,fly11,before food,0.3333333333333333
Tmem63b,fly12,after food,0.18275170729324763
Tmem63b,fly12,before food,0.0303030303030302
Tmem63b,fly13,after food,0.672053872053872
Tmem63b,fly13,before food,0.1050583657587549
Tmem63b,fly14,after food,0.41666666666666663
Tmem63b,fly14,before food,0.0842911877394636
Tmem63b,fly15,after food,0.2637257952904297
Tmem63b,fly15,before food,0.0365853658536585
Tmem63b,fly16,after food,0.5105617130439826
Tmem63b,fly16,before food,0.0604026845637584
Tmem63b,fly17,after food,0.5267688848565547
Tmem63b,fly17,before food,0.0042918454935622
Tmem63b,fly18,after food,0.0359281437125748
Tmem63b,fly18,before food,0.0333988212180746
Tmem63b,fly19,after food,0.4588744588744589
Tmem63b,fly19,before food,0.016
Tmem63b,fly20,after food,0.6666666666666667
Tmem63b,fly20,before food,0.1134941912421805
Tmem63b,fly21,after food,0.4187830687830687
Tmem63b,fly21,before food,0.1121495327102803
Tmem63b_x_CSMH,fly01,after food,0.5494949494949495
Tmem63b_x_CSMH,fly01,before food,0.0704225352112676
Tmem63b_x_CSMH,fly02,after food,0.4179208815431519
Tmem63b_x_CSMH,fly02,before food,0.0588235294117647
Tmem63b_x_CSMH,fly03,after food,0.326126148985073
Tmem63b_x_CSMH,fly03,before food,0.0351758793969849
Tmem63b_x_CSMH,fly04,after food,0.39336184648684647
Tmem63b_x_CSMH,fly04,before food,0.0344827586206896
Tmem63b_x_CSMH,fly05,after food,0.2566244081478839
Tmem63b_x_CSMH,fly05,before food,0.1346938775510204
Tmem63b_x_CSMH,fly06,after food,0.4271290437957105
Tmem63b_x_CSMH,fly06,before food,0.0682492581602374
Tmem63b_x_CSMH,fly07,after food,0.46209205785722385
Tmem63b_x_CSMH,fly07,before food,0.0860033726812816
Tmem63b_x_CSMH,fly08,after food,0.15602427589231108
Tmem63b_x_CSMH,fly08,before food,0.0086206896551723
Tmem63b_x_CSMH,fly09,after food,0.2199577400091655
Tmem63b_x_CSMH,fly09,before food,0.0382513661202186
Tmem63b_x_CSMH,fly10,after food,0.326693620383899
Tmem63b_x_CSMH,fly10,before food,0.1815181518151816
Tmem63b_x_CSMH,fly11,after food,0.25586560687648024
Tmem63b_x_CSMH,fly11,before food,0.15625
Tmem63b_x_CSMH,fly12,before food,0.0165562913907284
Tmem63b_x_CSMH,fly13,after food,0.5339403917595407
Tmem63b_x_CSMH,fly13,before food,0.0598290598290598
Tmem63b_x_CSMH,fly14,after food,0.3376628829133708
Tmem63b_x_CSMH,fly14,before food,0.1307692307692307
Tmem63b_x_CSMH,fly15,after food,0.3198151644047145
Tmem63b_x_CSMH,fly15,before food,0.0211640211640211
Tmem63b_x_CSMH,fly16,after food,0.31170288169429905
Tmem63b_x_CSMH,fly16,before food,0.1310344827586207
Tmem63b_x_CSMH,fly17,after food,0.3160007238339454
Tmem63b_x_CSMH,fly17,before food,0.1515151515151515
Tmem63b_x_CSMH,fly18,after food,0.2990781161682776
Tmem63b_x_CSMH,fly18,before food,0.0123456790123457
Tmem63b_x_CSMH,fly19,after food,0.34935253567939006
Tmem63b_x_CSMH,fly19,before food,0.071651090342679
Tmem63b_x_CSMH,fly20,after food,0.33469305725776616
Tmem63b_x_CSMH,fly20,before food,0.063063063063063
Tmem63b_x_CSMH,fly21,after food,0.16757646147890046
Tmem63b_x_CSMH,fly21,before food,0.0025062656641603
